,lat,lon,amenity,name,tags,address,Code,Place,is chain
0,49.260812,-123.125736,cafe,starbucks,"{'brand:wikidata': 'Q37158', 'official_name': 'Starbucks Coffee', 'addr:housenumber': '2787', 'brand:wikipedia': 'en:Starbucks', 'opening_hours': 'Mo-Th 05:30-19:30; Fr-Su 05:30-20:00', 'cuisine': 'coffee_shop', 'addr:street': 'Laurel Street', 'takeaway': 'yes', 'brand': 'Starbucks'}","1001 W 12th Ave, Vancouver, BC V6H 0A5, Canada",V6H,Vancouver (West Fairview / Granville Island / NE Shaughnessy),True
2,49.2635825,-123.1288364,cafe,waves,{'opening_hours': 'Mo-Fr 06:00-24:00; Sa-Su 08:00-22:00'},"1095 BC-7, Vancouver, BC V6H 0A8, Canada",V6H,Vancouver (West Fairview / Granville Island / NE Shaughnessy),True
7,49.2634479,-123.1380669,fast_food,mcdonald's,"{'brand:wikidata': 'Q38076', 'addr:housenumber': '1482', 'website': 'http://www.mcdonalds.ca/', 'internet_access': 'wlan', 'brand:wikipedia': ""en:McDonald's"", 'opening_hours': 'Su-Th 06:00-24:00; Fr-Sa 06:00-01:00', 'cuisine': 'burger', 'addr:street': 'West Broadway', 'takeaway': 'yes', 'brand': ""McDonald's""}","1482 BC-7, Vancouver, BC V6H 4E8, Canada",V6H,Vancouver (West Fairview / Granville Island / NE Shaughnessy),True
9,49.2632255,-123.1333895,restaurant,denny's,"{'brand:wikidata': 'Q1189695', 'addr:housenumber': '1296', 'phone': '+1-604-731-9033', 'brand:wikipedia': ""en:Denny's"", 'cuisine': 'american', 'addr:street': 'West Broadway', 'brand': ""Denny's""}","1296 W Broadway, Vancouver, BC V6H 1G6, Canada",V6H,Vancouver (West Fairview / Granville Island / NE Shaughnessy),True
10,49.2711559,-123.1358083,restaurant,the keg,"{'brand:wikidata': 'Q7744066', 'wheelchair': 'yes', 'website': 'https://www.kegsteakhouse.com/', 'phone': '+1-604-685-4735', 'brand:wikipedia': 'en:The Keg', 'cuisine': 'steak_house', 'brand': 'The Keg'}","1499 Duranleau St, Vancouver, BC V6H 3S3, Canada",V6H,Vancouver (West Fairview / Granville Island / NE Shaughnessy),True
20,49.2485436,-123.1266354,cafe,starbucks,"{'brand:wikidata': 'Q37158', 'official_name': 'Starbucks Coffee', 'brand:wikipedia': 'en:Starbucks', 'cuisine': 'coffee_shop', 'outdoor_seating': 'no', 'takeaway': 'yes', 'brand': 'Starbucks'}","990 W King Edward Ave, Vancouver, BC V6H 2M9, Canada",V6H,Vancouver (West Fairview / Granville Island / NE Shaughnessy),True
24,49.26190029999999,-123.1383698,cafe,starbucks,"{'brand:wikidata': 'Q37158', 'official_name': 'Starbucks Coffee', 'addr:housenumber': '2690', 'brand:wikipedia': 'en:Starbucks', 'cuisine': 'coffee_shop', 'addr:street': 'Granville Street', 'takeaway': 'yes', 'brand': 'Starbucks'}","2690 BC-99, Vancouver, BC V6H 3H8, Canada",V6H,Vancouver (West Fairview / Granville Island / NE Shaughnessy),True
35,49.26322310000001,-123.1389199,cafe,starbucks,"{'brand:wikidata': 'Q37158', 'official_name': 'Starbucks Coffee', 'brand:wikipedia': 'en:Starbucks', 'opening_hours': 'Mo-Fr 05:30-22:00; Sa,Su,PH 07:30-22:00', 'cuisine': 'coffee_shop', 'takeaway': 'yes', 'brand': 'Starbucks'}","2505 Granville St, Vancouver, BC V6H 3G7, Canada",V6H,Vancouver (West Fairview / Granville Island / NE Shaughnessy),True
36,49.2634549,-123.1383566,cafe,blenz coffee,"{'addr:housenumber': '2506', 'addr:street': 'Granville Street'}","2506 Granville St, Vancouver, BC V6H 3G8, Canada",V6H,Vancouver (West Fairview / Granville Island / NE Shaughnessy),True
37,49.2654797,-123.1382778,cafe,starbucks,"{'brand:wikidata': 'Q37158', 'official_name': 'Starbucks Coffee', 'wheelchair': 'yes', 'addr:housenumber': '2288', 'brand:wikipedia': 'en:Starbucks', 'cuisine': 'coffee_shop', 'addr:street': 'Granville Street', 'takeaway': 'yes', 'brand': 'Starbucks'}","2288 BC-99, Vancouver, BC V6H 4H7, Canada",V6H,Vancouver (West Fairview / Granville Island / NE Shaughnessy),True
39,49.2572846,-123.12698190000002,restaurant,de dutch,"{'opening_hours': 'Mo-Fr 07:30-15:00; Sa-Su 08:00-15:00', 'wheelchair': 'limited', 'cuisine': 'breakfast', 'addr:housenumber': '3192', 'addr:street': 'Oak Street'}","3192 Oak St, Vancouver, BC V6H 2L1, Canada",V6H,Vancouver (West Fairview / Granville Island / NE Shaughnessy),True
44,49.263332,-123.1329176,fast_food,subway,"{'brand:wikidata': 'Q244457', 'addr:housenumber': '1288', 'phone': '+1-604-736-3311', 'brand:wikipedia': 'en:Subway (restaurant)', 'cuisine': 'sandwich', 'addr:street': 'West Broadway', 'takeaway': 'yes', 'brand': 'Subway'}","1288 W Broadway, Vancouver, BC V6H 3X8, Canada",V6H,Vancouver (West Fairview / Granville Island / NE Shaughnessy),True
45,49.2633326,-123.1328362,fast_food,panago,"{'brand:wikidata': 'Q17111672', 'cuisine': 'pizza', 'takeaway': 'yes', 'brand': 'Panago', 'brand:wikipedia': 'en:Panago'}","1266 W Broadway, Vancouver, BC V6H 1G6, Canada",V6H,Vancouver (West Fairview / Granville Island / NE Shaughnessy),True
51,49.2445292,-123.1257268,cafe,second cup,"{'brand:wikidata': 'Q862180', 'level': '0', 'brand:wikipedia': 'en:Second Cup', 'smoking': 'no', 'opening_hours': '06:00-22:00', 'cuisine': 'coffee_shop', 'takeaway': 'yes', 'brand': 'Second Cup'}","4480 Oak St, Vancouver, BC V6H 3N1, Canada",V6H,Vancouver (West Fairview / Granville Island / NE Shaughnessy),True
59,49.263365,-123.13429,fast_food,domino's pizza,"{'brand:wikidata': 'Q839466', 'addr:housenumber': '1312', 'brand:wikipedia': ""en:Domino's Pizza"", 'opening_hours': 'Su-Th 11:00-01:00; Fr-Sa 11:00-02:00', 'cuisine': 'pizza', 'short_name': ""Domino's"", 'addr:street': 'West Broadway', 'takeaway': 'yes', 'brand': ""Domino's Pizza""}","1312 W Broadway, Vancouver, BC V6H 1H2, Canada",V6H,Vancouver (West Fairview / Granville Island / NE Shaughnessy),True
60,49.2637211,-123.1347841,restaurant,boston pizza,"{'brand:wikidata': 'Q894578', 'brand:wikipedia': 'en:Boston Pizza', 'opening_hours': 'Mo-Su 11:00-02:00', 'cuisine': 'pizza', 'brand': 'Boston Pizza', 'addr:city': 'Vancouver'}","1355 BC-7, Vancouver, BC V6H 4A7, Canada",V6H,Vancouver (West Fairview / Granville Island / NE Shaughnessy),True
63,49.2591796,-123.1389048,cafe,bean around the world,{'opening_hours': 'Mo-Fr 07:00-19:00; Sa-Su 07:30-19:00'},"2975 Granville St, Vancouver, BC V6H 3J6, Canada",V6H,Vancouver (West Fairview / Granville Island / NE Shaughnessy),True
67,49.25097529999999,-123.1270905,fast_food,subway,"{'brand:wikidata': 'Q244457', 'cuisine': 'sandwich', 'takeaway': 'yes', 'brand': 'Subway', 'brand:wikipedia': 'en:Subway (restaurant)'}","3890 Oak St, Vancouver, BC V6H 2M5, Canada",V6H,Vancouver (West Fairview / Granville Island / NE Shaughnessy),True
79,49.2515901,-123.1272753,cafe,pallet coffee roasters,"{'addr:housenumber': '3820', 'addr:street': 'Oak Street', 'addr:city': 'Vancouver'}","3820 Oak St, Vancouver, BC V6H 2M5, Canada",V6H,Vancouver (West Fairview / Granville Island / NE Shaughnessy),True
89,49.1240103,-123.1808928,cafe,starbucks,"{'wheelchair': 'yes', 'note': 'Merged dupe starbucks node into this node.', 'addr:housenumber': '105-4011', 'internet_access': 'wlan', 'wheelchair:description': 'Free wireless Designated ""accessible"" table Indoor and outdoor seating is all accessible', 'addr:street': 'Bayview Street'}","4011 Bayview St, Richmond, BC V7E 0A4, Canada",V7E,Richmond Southwest,True
94,49.12421120000001,-123.182955,cafe,waves coffee house,{'cuisine': 'coffee_shop'},"12251 First Ave, Richmond, BC V7E 3M3, Canada",V7E,Richmond Southwest,True
119,49.1332371,-123.158294,fast_food,panago,"{'cuisine': 'pizza', 'website': 'https://panago.com/', 'phone': '+1-604-310-0001', 'takeaway': 'only'}","6020 Steveston Hwy, Richmond, BC V7E 2K8, Canada",V7E,Richmond Southwest,True
125,49.2792232,-123.1168269,cafe,gong cha,"{'addr:province': 'BC', 'addr:housenumber': '386', 'payment:credit_cards': 'yes', 'internet_access': 'wlan', 'internet_access:fee': 'no', 'cuisine': 'bubble_tea', 'name:en': 'Gong Cha', 'addr:street': 'Robson Street', 'payment:debit_cards': 'yes', 'addr:city': 'Vancouver'}","386 Robson St, Vancouver, BC V6B 2B2, Canada",V6B,Vancouver (NE Downtown / Harbour Centre / Gastown / Yaletown),True
136,49.2808969,-123.1073143,fast_food,mcdonald's,"{'brand:wikidata': 'Q38076', 'level': '0', 'brand:wikipedia': ""en:McDonald's"", 'cuisine': 'burger', 'takeaway': 'yes', 'addr:city': 'Vancouver', 'addr:housenumber': '88', 'drive_through': 'no', 'opening_hours': 'Su-Th 06:00-23:00; Fr-Sa 00:00-24:00', 'name:en': ""McDonald's"", 'addr:street': 'West Pender Street', 'brand': ""McDonald's""}","506 Abbott St, Vancouver, BC V6B 2L1, Canada",V6B,Vancouver (NE Downtown / Harbour Centre / Gastown / Yaletown),True
140,49.2799281,-123.1066781,fast_food,taco time,"{'brand:wikidata': 'Q7673969', 'level': '1', 'brand:wikipedia': 'en:Taco Time', 'cuisine': 'mexican', 'takeaway': 'yes', 'brand': 'Taco Time'}","63 Keefer Pl, Vancouver, BC V6B 0C9, Canada",V6B,Vancouver (NE Downtown / Harbour Centre / Gastown / Yaletown),True
149,49.2820949,-123.1165023,fast_food,kung fu noodle,"{'addr:housenumber': '682', 'addr:street': 'Seymour Street'}","682 Seymour St, Vancouver, BC V6B 3K3, Canada",V6B,Vancouver (NE Downtown / Harbour Centre / Gastown / Yaletown),True
180,49.2764887,-123.1189668,fast_food,subway,"{'brand:wikidata': 'Q244457', 'addr:housenumber': '1000', 'brand:wikipedia': 'en:Subway (restaurant)', 'opening_hours': '24/7', 'cuisine': 'sandwich', 'name:en': 'Subway', 'addr:street': 'Mainland Street', 'takeaway': 'yes', 'brand': 'Subway'}","1000 Mainland St, Vancouver, BC V6B 6J8, Canada",V6B,Vancouver (NE Downtown / Harbour Centre / Gastown / Yaletown),True
185,49.2789586,-123.1212246,cafe,starbucks,"{'brand:wikidata': 'Q37158', 'official_name': 'Starbucks Coffee', 'internet_access': 'wlan', 'brand:wikipedia': 'en:Starbucks', 'internet_access:fee': 'no', 'cuisine': 'coffee_shop', 'takeaway': 'yes', 'addr:city': 'Vancouver', 'addr:housenumber': '960', 'outdoor_seating': 'yes', 'addr:street': 'Seymour Street', 'brand': 'Starbucks'}","960 Seymour St, Vancouver, BC V6B 1B4, Canada",V6B,Vancouver (NE Downtown / Harbour Centre / Gastown / Yaletown),True
187,49.2801553,-123.1209311,fast_food,pizza garden,"{'addr:housenumber': '675', 'website': 'https://www.pizzagarden.ca', 'phone': '+1-604-669-6656', 'drive_through': 'no', 'opening_hours': 'Su 11:00-23:00; Mo-Th 11:00-00:00; Fr, Sa 11:00-03:00', 'cuisine': 'pizza', 'addr:street': 'Smithe Street', 'payment:debit_cards': 'yes', 'takeaway': 'yes', 'addr:city': 'Vancouver'}","675 Smithe St, Vancouver, BC V6B 2C9, Canada",V6B,Vancouver (NE Downtown / Harbour Centre / Gastown / Yaletown),True
191,49.2792588,-123.1074257,fast_food,uncle fatih's pizza,"{'opening_hours': 'Mo 10:30-14:00; Tu-Th 10:30-01:00; Fr 10:30-03:00; Sa 12:00-03:00; Su 12:00-24:00', 'addr:housenumber': '638', 'addr:street': 'Abbott Street'}","638 Abbott St, Vancouver, BC V6B 6N7, Canada",V6B,Vancouver (NE Downtown / Harbour Centre / Gastown / Yaletown),True
192,49.2793502,-123.1078358,fast_food,freshslice,"{'opening_hours': 'Su-Th 11:00-23:00; Fr-Sa 11:00-00:00', 'cuisine': 'pizza', 'addr:housenumber': '663', 'addr:street': 'Abbott Street', 'addr:city': 'Vancouver'}","623 Abbott St, Vancouver, BC V6B 6B8, Canada",V6B,Vancouver (NE Downtown / Harbour Centre / Gastown / Yaletown),True
