,name,lat,lon,price_level,rating,user_ratings_total,amenity,amenity_label,bar,bistro,cafe,fast_food,ice_cream,juice_bar,pub,restaurant,is_chain,chain_label,chain_False,chain_True
0,starbucks,49.260812,-123.125736,2.0,3.9,127,cafe,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,True,1,0.0,1.0
1,waves,49.2635825,-123.1288364,0.0,3.8,290,cafe,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,True,1,0.0,1.0
2,mcdonald's,49.2634479,-123.1380669,1.0,3.4,539,fast_food,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,True,1,0.0,1.0
3,denny's,49.2632255,-123.1333895,2.0,4.0,532,restaurant,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1,0.0,1.0
4,the keg,49.2711559,-123.1358083,3.0,4.2,1366,restaurant,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1,0.0,1.0
5,starbucks,49.2485436,-123.1266354,2.0,3.3,12,cafe,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,True,1,0.0,1.0
6,starbucks,49.26190029999999,-123.1383698,2.0,4.0,125,cafe,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,True,1,0.0,1.0
7,starbucks,49.26322310000001,-123.1389199,2.0,4.1,140,cafe,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,True,1,0.0,1.0
8,blenz coffee,49.2634549,-123.1383566,1.0,4.1,209,cafe,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,True,1,0.0,1.0
9,starbucks,49.2654797,-123.1382778,2.0,4.0,181,cafe,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,True,1,0.0,1.0
10,de dutch,49.2572846,-123.12698190000002,2.0,4.1,270,restaurant,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1,0.0,1.0
11,subway,49.263332,-123.1329176,1.0,3.3,48,fast_food,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,True,1,0.0,1.0
12,panago,49.2633326,-123.1328362,2.0,3.8,48,fast_food,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,True,1,0.0,1.0
13,second cup,49.2445292,-123.1257268,2.0,3.4,32,cafe,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,True,1,0.0,1.0
14,domino's pizza,49.263365,-123.13429,1.0,3.7,122,fast_food,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,True,1,0.0,1.0
15,boston pizza,49.2637211,-123.1347841,2.0,3.8,504,restaurant,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1,0.0,1.0
16,bean around the world,49.2591796,-123.1389048,1.0,4.2,97,cafe,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,True,1,0.0,1.0
17,subway,49.25097529999999,-123.1270905,1.0,3.6,84,fast_food,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,True,1,0.0,1.0
18,pallet coffee roasters,49.2515901,-123.1272753,2.0,4.3,167,cafe,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,True,1,0.0,1.0
19,starbucks,49.1240103,-123.1808928,2.0,4.1,324,cafe,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,True,1,0.0,1.0
20,waves coffee house,49.12421120000001,-123.182955,0.0,3.9,435,cafe,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,True,1,0.0,1.0
21,panago,49.1332371,-123.158294,2.0,3.8,68,fast_food,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,True,1,0.0,1.0
22,gong cha,49.2792232,-123.1168269,1.0,3.8,500,cafe,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,True,1,0.0,1.0
23,mcdonald's,49.2808969,-123.1073143,1.0,3.1,684,fast_food,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,True,1,0.0,1.0
24,taco time,49.2799281,-123.1066781,1.0,3.3,44,fast_food,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,True,1,0.0,1.0
25,kung fu noodle,49.2820949,-123.1165023,1.0,3.5,320,fast_food,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,True,1,0.0,1.0
26,subway,49.2764887,-123.1189668,1.0,4.1,131,fast_food,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,True,1,0.0,1.0
27,starbucks,49.2789586,-123.1212246,2.0,4.0,77,cafe,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,True,1,0.0,1.0
28,pizza garden,49.2801553,-123.1209311,1.0,4.4,591,fast_food,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,True,1,0.0,1.0
29,uncle fatih's pizza,49.2792588,-123.1074257,1.0,4.2,543,fast_food,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,True,1,0.0,1.0
30,freshslice,49.2793502,-123.1078358,1.0,4.2,265,fast_food,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,True,1,0.0,1.0
31,starbucks,49.279937200000006,-123.1073562,2.0,4.2,595,cafe,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,True,1,0.0,1.0
32,uncle fatih's pizza,49.2789073,-123.1221767,1.0,4.3,499,fast_food,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,True,1,0.0,1.0
33,meat & bread,49.2810223,-123.1189956,0.0,4.0,100,restaurant,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1,0.0,1.0
34,five guys,49.28109,-123.1190968,2.0,4.3,2699,fast_food,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,True,1,0.0,1.0
35,a&w,49.2831516,-123.1154178,1.0,3.7,333,fast_food,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,True,1,0.0,1.0
36,red burrito,49.2807931,-123.1191954,0.0,4.2,26,fast_food,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,True,1,0.0,1.0
37,waves coffee,49.2838195,-123.1118877,1.0,4.1,352,cafe,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,True,1,0.0,1.0
38,meat & bread,49.282623,-123.109344,1.0,4.6,1396,fast_food,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,True,1,0.0,1.0
39,the old spaghetti factory,49.28384370000001,-123.1053674,2.0,4.4,4834,restaurant,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1,0.0,1.0
40,blenz,49.2796325,-123.1078508,1.0,3.6,251,cafe,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,True,1,0.0,1.0
41,tim hortons,49.2860889,-123.1163367,1.0,3.7,293,cafe,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,True,1,0.0,1.0
42,donair dude,49.28223670000001,-123.1092038,1.0,4.3,313,fast_food,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,True,1,0.0,1.0
43,tim hortons,49.2832205,-123.1155257,1.0,3.5,300,cafe,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,True,1,0.0,1.0
44,starbucks,49.2829884,-123.1156531,2.0,3.9,208,cafe,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,True,1,0.0,1.0
45,subway,49.2823756,-123.10848590000002,1.0,3.6,142,fast_food,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,True,1,0.0,1.0
46,blenz coffee,49.2810287,-123.118654,1.0,3.7,85,cafe,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,True,1,0.0,1.0
47,subway,49.2785018,-123.1156293,1.0,3.2,91,fast_food,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,True,1,0.0,1.0
48,burger king,49.2841391,-123.1142912,1.0,3.2,506,fast_food,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,True,1,0.0,1.0
49,starbucks,49.274665,-123.122111,2.0,4.0,162,cafe,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,True,1,0.0,1.0
50,nuba,49.2827611,-123.1096481,2.0,4.4,2056,restaurant,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1,0.0,1.0
51,bean around the world,49.2825011,-123.1092466,1.0,4.1,172,cafe,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,True,1,0.0,1.0
52,cactus club cafe,49.2750892,-123.1227583,2.0,4.2,1203,restaurant,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1,0.0,1.0
53,blenz coffee,49.275785600000006,-123.12110990000002,1.0,4.1,264,cafe,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,True,1,0.0,1.0
54,the keg steakhouse + bar - yaletown,49.2765618,-123.1193697,3.0,4.4,1619,restaurant,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1,0.0,1.0
