,lat,lon,timestamp,amenity,name,tags
0,49.260812,-123.125736,2020-03-20T18:22:12.000-07:00,cafe,starbucks,"{'brand:wikidata': 'Q37158', 'official_name': 'Starbucks Coffee', 'addr:housenumber': '2787', 'brand:wikipedia': 'en:Starbucks', 'opening_hours': 'Mo-Th 05:30-19:30; Fr-Su 05:30-20:00', 'cuisine': 'coffee_shop', 'addr:street': 'Laurel Street', 'takeaway': 'yes', 'brand': 'Starbucks'}"
1,49.260953,-123.125704,2019-08-02T18:11:20.000-07:00,fast_food,salad loop,{'opening_hours': 'Mo-Fr 07:00-17:00; Sa 10:00-14:30'}
13,49.1266497,-123.1824699,2020-03-30T09:08:51.000-07:00,restaurant,best bite indian cuisine,"{'addr:housenumber': '10-3891', 'phone': '+1-604-370-4949', 'cuisine': 'indian', 'addr:street': 'Chatham Street', 'addr:postcode': 'V7E 2Z6', 'addr:city': 'Richmond'}"
16,49.2831924,-123.1090499,2015-12-18T21:41:07.000-08:00,pub,the cambie,"{'toilets:wheelchair': 'no', 'wheelchair': 'limited', 'addr:housenumber': '300', 'addr:street': 'Cambie Street', 'addr:city': 'Vancouver'}"
19,49.2659507,-123.2466297,2011-11-19T08:06:36.000-08:00,pub,mahony and sons,{'wheelchair': 'yes'}
33,49.1935797,-123.1807883,2019-09-14T05:00:22.000-07:00,cafe,tim hortons,"{'brand:wikidata': 'Q175106', 'level': '0', 'brand:wikipedia': 'en:Tim Hortons', 'cuisine': 'coffee_shop', 'indoor': 'yes', 'takeaway': 'yes', 'brand': 'Tim Hortons'}"
52,49.2284004,-122.8483834,2019-11-20T11:48:37.000-08:00,cafe,tim hortons,"{'brand:wikidata': 'Q175106', 'addr:housenumber': '1450', 'brand:wikipedia': 'en:Tim Hortons', 'opening_hours': '24/7', 'cuisine': 'coffee_shop', 'addr:street': 'United Boulevard', 'takeaway': 'yes', 'brand': 'Tim Hortons'}"
54,49.212449,-122.9197493,2019-07-02T01:10:30.000-07:00,cafe,tim hortons,"{'brand:wikidata': 'Q175106', 'website': 'https://www.timhortons.com/', 'brand:wikipedia': 'en:Tim Hortons', 'cuisine': 'coffee_shop', 'source': 'gps/photo survey', 'takeaway': 'yes', 'brand': 'Tim Hortons', 'operator': 'Restaurant Brands International Inc.'}"
55,49.212659,-122.9193469,2019-07-02T01:10:30.000-07:00,cafe,starbucks,"{'brand:wikidata': 'Q37158', 'official_name': 'Starbucks Coffee', 'brand:wikipedia': 'en:Starbucks', 'cuisine': 'coffee_shop', 'takeaway': 'yes', 'brand': 'Starbucks'}"
58,49.1712762,-123.1348734,2019-10-27T17:08:25.000-07:00,restaurant,oriental rice noodle,"{'addr:housenumber': '8100', 'phone': '+1-604-370-3738', 'opening_hours': 'Su-Th 11:00-22:30; Fr-Sa 11:00-23:00', 'cuisine': 'chinese', 'addr:street': 'Ackroyd Road', 'addr:unit': '130', 'addr:city': 'Richmond', 'name:zh': '雲尚過橋米線'}"
65,49.1327053,-123.0991859,2019-08-24T15:12:34.000-07:00,restaurant,nando's,"{'brand:wikidata': 'Q3472954', 'cuisine': 'chicken;portuguese', 'brand': ""Nando's"", 'brand:wikipedia': ""en:Nando's""}"
66,49.1330103,-123.0955358,2019-08-24T15:12:34.000-07:00,restaurant,boston pizza,"{'brand:wikidata': 'Q894578', 'cuisine': 'pizza', 'brand': 'Boston Pizza', 'brand:wikipedia': 'en:Boston Pizza', 'addr:unit': '2000'}"
67,49.2347493,-123.1547249,2019-09-24T19:58:50.000-07:00,fast_food,mcdonald's,"{'brand:wikidata': 'Q38076', 'wheelchair': 'yes', 'addr:housenumber': '2095', 'website': 'http://www.mcdonalds.ca/', 'internet_access': 'wlan', 'brand:wikipedia': ""en:McDonald's"", 'opening_hours': '24/7', 'cuisine': 'burger', 'addr:street': 'West 41st Avenue', 'takeaway': 'yes', 'brand': ""McDonald's""}"
72,49.2684891,-123.258088,2017-03-04T08:41:21.000-08:00,pub,koerner's pub,"{'opening_hours': 'Mo-Fr 11:30-01:00', 'addr:housenumber': '6371', 'website': 'http://koerners.ca/', 'addr:street': 'Crescent Road', 'phone': '+1-604-827-1443'}"
83,49.2635825,-123.1288364,2019-05-04T04:55:51.000-07:00,cafe,waves,{'opening_hours': 'Mo-Fr 06:00-24:00; Sa-Su 08:00-22:00'}
84,49.1401463,-123.1378853,2014-08-23T05:24:32.000-07:00,fast_food,subway,{'cuisine': 'sub'}
87,49.1556713,-123.1248972,2017-08-19T05:05:34.000-07:00,bar,legends pub,{}
88,49.1398614,-123.137394,2019-02-27T00:17:55.000-08:00,fast_food,kfc,"{'brand:wikidata': 'Q524757', 'cuisine': 'chicken', 'brand': 'KFC', 'brand:wikipedia': 'en:KFC', 'drive_through': 'no'}"
89,49.1486188,-123.1358921,2009-09-01T22:49:26.000-07:00,fast_food,pizza hut (takeout),{}
90,49.1330851,-123.0940869,2019-08-24T15:12:34.000-07:00,fast_food,mcdonald's,"{'brand:wikidata': 'Q38076', 'website': 'http://www.mcdonalds.ca/', 'internet_access': 'wlan', 'brand:wikipedia': ""en:McDonald's"", 'drive_through': 'yes', 'opening_hours': '24/7', 'cuisine': 'burger', 'takeaway': 'yes', 'brand': ""McDonald's""}"
91,49.1329977,-123.0973124,2019-08-24T15:12:34.000-07:00,fast_food,burger king,"{'brand:wikidata': 'Q177054', 'cuisine': 'burger', 'takeaway': 'yes', 'brand': 'Burger King', 'brand:wikipedia': 'en:Burger King'}"
95,49.091207,-122.9564485,2010-06-11T04:53:29.000-07:00,fast_food,triple o's,{}
96,49.0919518,-122.9576502,2019-08-02T01:26:08.000-07:00,cafe,tim hortons,"{'brand:wikidata': 'Q175106', 'cuisine': 'coffee_shop', 'takeaway': 'yes', 'brand': 'Tim Hortons', 'brand:wikipedia': 'en:Tim Hortons'}"
108,49.268662,-123.1045109,2019-03-22T02:52:21.000-07:00,bar,faculty brewing,"{'addr:housenumber': '1830', 'website': 'https://www.facultybrewing.com/', 'shop': 'alcohol', 'phone': '+1-778-819-6794', 'opening_hours': 'Mo-Fr 14:00-23:00; Sa-Su 11:00-23:00', 'outdoor_seating': 'no', 'addr:street': 'Ontario Street', 'addr:postcode': 'V5T 2W6', 'email': 'hola@facultybrewing.com', 'addr:city': 'Vancouver'}"
115,49.2685718,-123.1045263,2018-10-26T20:30:44.000-07:00,cafe,argo cafe,"{'addr:housenumber': '1836', 'addr:street': 'Ontario Street', 'phone': '+1-604-876-3620'}"
117,49.2672519,-123.1033949,2018-10-26T20:30:44.000-07:00,pub,r & b ale & pizza house,"{'opening_hours': 'Su-Tu 11:00-23:00; We-Sa 11:00-00:00', 'website': 'https://www.randbbrewing.com/alehouse', 'phone': '+1-604-336-0275'}"
121,49.2665754,-123.103744,2018-10-26T20:30:44.000-07:00,restaurant,peaceful restaurant,"{'opening_hours': 'Su-Th 11:00-21:30; Fr-Sa 11:00-22:00', 'addr:housenumber': '43', 'website': 'http://www.peacefulrestaurant.com', 'addr:street': 'East 5th Avenue', 'phone': '+1-604-559-9511'}"
253,49.2779185,-122.912361,2019-11-14T08:54:00.000-08:00,restaurant,pho 99,"{'addr:housenumber': '8901', 'addr:street': 'Cornerstone Mews'}"
254,49.278119,-122.9122848,2020-01-18T09:04:52.000-08:00,cafe,starbucks,"{'brand:wikidata': 'Q37158', 'official_name': 'Starbucks Coffee', 'internet_access': 'yes', 'brand:wikipedia': 'en:Starbucks', 'cuisine': 'coffee_shop', 'takeaway': 'yes', 'brand': 'Starbucks'}"
300,49.281302,-123.0575579,2019-09-13T13:57:03.000-07:00,restaurant,tacofino commissary,"{'addr:housenumber': '2327', 'addr:street': 'East Hastings Street', 'addr:city': 'Vancouver'}"
301,49.2812984,-123.0573443,2019-09-13T13:57:03.000-07:00,restaurant,miyako sushi,"{'addr:housenumber': '2341', 'addr:street': 'East Hastings Street', 'addr:city': 'Vancouver'}"
302,49.2812866,-123.0550913,2019-09-13T13:57:03.000-07:00,restaurant,what's up? hot dog!,"{'addr:housenumber': '2481', 'addr:street': 'East Hastings Street', 'addr:city': 'Vancouver'}"
303,49.2821554,-123.0998393,2019-09-13T13:57:03.000-07:00,cafe,waves coffee,"{'addr:housenumber': '305', 'addr:street': 'Main Street', 'addr:city': 'Vancouver'}"
304,49.2832655,-123.0978958,2019-09-13T13:57:03.000-07:00,restaurant,st lawrence restaurant,"{'addr:housenumber': '269', 'addr:street': 'Powell Street', 'addr:city': 'Vancouver'}"
305,49.2832876,-123.0980745,2019-09-13T13:57:03.000-07:00,restaurant,cuhillo,"{'addr:housenumber': '261', 'addr:street': 'Powell Street', 'addr:city': 'Vancouver'}"
306,49.2831728,-123.0935162,2019-09-13T13:57:03.000-07:00,cafe,the uncommon cafe,"{'addr:housenumber': '477', 'addr:street': 'Powell Street', 'addr:city': 'Vancouver'}"
308,49.2796054,-123.1002799,2019-09-13T13:57:03.000-07:00,restaurant,juniper,"{'addr:housenumber': '185', 'addr:street': 'Keefer Street', 'addr:city': 'Vancouver'}"
