,Unnamed: 0,lat,lon,timestamp,amenity,name,tags,address
0,0,49.260812,-123.125736,2020-03-20T18:22:12.000-07:00,cafe,starbucks,"{'brand:wikidata': 'Q37158', 'official_name': 'Starbucks Coffee', 'addr:housenumber': '2787', 'brand:wikipedia': 'en:Starbucks', 'opening_hours': 'Mo-Th 05:30-19:30; Fr-Su 05:30-20:00', 'cuisine': 'coffee_shop', 'addr:street': 'Laurel Street', 'takeaway': 'yes', 'brand': 'Starbucks'}","1001 W 12th Ave, Vancouver, BC V6H 0A5, Canada"
1,1,49.260953,-123.125704,2019-08-02T18:11:20.000-07:00,fast_food,salad loop,{'opening_hours': 'Mo-Fr 07:00-17:00; Sa 10:00-14:30'},"1001 W 12th Ave, Vancouver, BC V6H 0A5, Canada"
2,13,49.1266497,-123.1824699,2020-03-30T09:08:51.000-07:00,restaurant,best bite indian cuisine,"{'addr:housenumber': '10-3891', 'phone': '+1-604-370-4949', 'cuisine': 'indian', 'addr:street': 'Chatham Street', 'addr:postcode': 'V7E 2Z6', 'addr:city': 'Richmond'}","10-3891 Chatham St, Richmond, BC V7E 2Z6, Canada"
3,16,49.2831924,-123.1090499,2015-12-18T21:41:07.000-08:00,pub,the cambie,"{'toilets:wheelchair': 'no', 'wheelchair': 'limited', 'addr:housenumber': '300', 'addr:street': 'Cambie Street', 'addr:city': 'Vancouver'}","300 W Cordova St, Vancouver, BC V6B 2N3, Canada"
4,19,49.265950700000005,-123.2466297,2011-11-19T08:06:36.000-08:00,pub,mahony and sons,{'wheelchair': 'yes'},"5990 University Blvd, Vancouver, BC V6T 2B9, Canada"
5,33,49.1935797,-123.18078829999999,2019-09-14T05:00:22.000-07:00,cafe,tim hortons,"{'brand:wikidata': 'Q175106', 'level': '0', 'brand:wikipedia': 'en:Tim Hortons', 'cuisine': 'coffee_shop', 'indoor': 'yes', 'takeaway': 'yes', 'brand': 'Tim Hortons'}","3211 Grant McConachie, Richmond, BC V7B 1K7, Canada"
6,52,49.2284004,-122.8483834,2019-11-20T11:48:37.000-08:00,cafe,tim hortons,"{'brand:wikidata': 'Q175106', 'addr:housenumber': '1450', 'brand:wikipedia': 'en:Tim Hortons', 'opening_hours': '24/7', 'cuisine': 'coffee_shop', 'addr:street': 'United Boulevard', 'takeaway': 'yes', 'brand': 'Tim Hortons'}","1450 United Blvd, Coquitlam, BC V3K 6Y2, Canada"
7,54,49.212449,-122.9197493,2019-07-02T01:10:30.000-07:00,cafe,tim hortons,"{'brand:wikidata': 'Q175106', 'website': 'https://www.timhortons.com/', 'brand:wikipedia': 'en:Tim Hortons', 'cuisine': 'coffee_shop', 'source': 'gps/photo survey', 'takeaway': 'yes', 'brand': 'Tim Hortons', 'operator': 'Restaurant Brands International Inc.'}","524 6th St, New Westminster, BC V3L 3B5, Canada"
8,55,49.212659,-122.91934690000001,2019-07-02T01:10:30.000-07:00,cafe,starbucks,"{'brand:wikidata': 'Q37158', 'official_name': 'Starbucks Coffee', 'brand:wikipedia': 'en:Starbucks', 'cuisine': 'coffee_shop', 'takeaway': 'yes', 'brand': 'Starbucks'}","549 6th St, New Westminster, BC V3L 5H1, Canada"
9,58,49.1712762,-123.13487340000002,2019-10-27T17:08:25.000-07:00,restaurant,oriental rice noodle,"{'addr:housenumber': '8100', 'phone': '+1-604-370-3738', 'opening_hours': 'Su-Th 11:00-22:30; Fr-Sa 11:00-23:00', 'cuisine': 'chinese', 'addr:street': 'Ackroyd Road', 'addr:unit': '130', 'addr:city': 'Richmond', 'name:zh': '雲尚過橋米線'}","195-8100 Ackroyd Rd, Richmond, BC V6X 2E1, Canada"
10,65,49.1327053,-123.09918590000002,2019-08-24T15:12:34.000-07:00,restaurant,nando's,"{'brand:wikidata': 'Q3472954', 'cuisine': 'chicken;portuguese', 'brand': ""Nando's"", 'brand:wikipedia': ""en:Nando's""}","Unnamed Road, Richmond, BC V7A 5J5, Canada"
11,66,49.133010299999995,-123.09553580000001,2019-08-24T15:12:34.000-07:00,restaurant,boston pizza,"{'brand:wikidata': 'Q894578', 'cuisine': 'pizza', 'brand': 'Boston Pizza', 'brand:wikipedia': 'en:Boston Pizza', 'addr:unit': '2000'}","11662 Steveston Hwy, Richmond, BC V7A 1N6, Canada"
12,67,49.2347493,-123.1547249,2019-09-24T19:58:50.000-07:00,fast_food,mcdonald's,"{'brand:wikidata': 'Q38076', 'wheelchair': 'yes', 'addr:housenumber': '2095', 'website': 'http://www.mcdonalds.ca/', 'internet_access': 'wlan', 'brand:wikipedia': ""en:McDonald's"", 'opening_hours': '24/7', 'cuisine': 'burger', 'addr:street': 'West 41st Avenue', 'takeaway': 'yes', 'brand': ""McDonald's""}","2095 W 41st Ave, Vancouver, BC V6M 1Y7, Canada"
13,72,49.268489100000004,-123.25808799999999,2017-03-04T08:41:21.000-08:00,pub,koerner's pub,"{'opening_hours': 'Mo-Fr 11:30-01:00', 'addr:housenumber': '6371', 'website': 'http://koerners.ca/', 'addr:street': 'Crescent Road', 'phone': '+1-604-827-1443'}","1758 West Mall, Vancouver, BC V6T 1Z2, Canada"
14,83,49.2635825,-123.12883640000001,2019-05-04T04:55:51.000-07:00,cafe,waves,{'opening_hours': 'Mo-Fr 06:00-24:00; Sa-Su 08:00-22:00'},"1095 BC-7, Vancouver, BC V6H 0A8, Canada"
15,84,49.1401463,-123.1378853,2014-08-23T05:24:32.000-07:00,fast_food,subway,{'cuisine': 'sub'},"10111 Number 3 Rd, Richmond, BC V7A 1G3, Canada"
16,87,49.1556713,-123.1248972,2017-08-19T05:05:34.000-07:00,bar,legends pub,{},"9031 Blundell Rd, Richmond, BC V6Y 1K4, Canada"
17,88,49.1398614,-123.137394,2019-02-27T00:17:55.000-08:00,fast_food,kfc,"{'brand:wikidata': 'Q524757', 'cuisine': 'chicken', 'brand': 'KFC', 'brand:wikipedia': 'en:KFC', 'drive_through': 'no'}","10111 Number 3 Rd, Richmond, BC V7A 1G3, Canada"
18,89,49.148618799999994,-123.13589209999999,2009-09-01T22:49:26.000-07:00,fast_food,pizza hut (takeout),{},"8980 Number 3 Rd, Richmond, BC V6Y 2E8, Canada"
19,90,49.1330851,-123.0940869,2019-08-24T15:12:34.000-07:00,fast_food,mcdonald's,"{'brand:wikidata': 'Q38076', 'website': 'http://www.mcdonalds.ca/', 'internet_access': 'wlan', 'brand:wikipedia': ""en:McDonald's"", 'drive_through': 'yes', 'opening_hours': '24/7', 'cuisine': 'burger', 'takeaway': 'yes', 'brand': ""McDonald's""}","11668 Steveston Hwy, Richmond, BC V7A 5J3, Canada"
20,91,49.132997700000004,-123.0973124,2019-08-24T15:12:34.000-07:00,fast_food,burger king,"{'brand:wikidata': 'Q177054', 'cuisine': 'burger', 'takeaway': 'yes', 'brand': 'Burger King', 'brand:wikipedia': 'en:Burger King'}","11380 Steveston Hwy, Richmond, BC V7A 5J5, Canada"
21,95,49.091207,-122.95644850000001,2010-06-11T04:53:29.000-07:00,fast_food,triple o's,{},"Eastbound Hwy 10 @ 96 St, Delta, BC V4G 1K2, Canada"
22,96,49.0919518,-122.9576502,2019-08-02T01:26:08.000-07:00,cafe,tim hortons,"{'brand:wikidata': 'Q175106', 'cuisine': 'coffee_shop', 'takeaway': 'yes', 'brand': 'Tim Hortons', 'brand:wikipedia': 'en:Tim Hortons'}","9591 Ladner Trunk Rd, Delta, BC V4K 3N3, Canada"
