"Code","Place","Admin1","Admin2"
"V3H","Port Moody","British Columbia",""
"V3Y","Pitt Meadows","British Columbia",""
"V4B","White Rock","British Columbia",""
"V4T","Westbank","British Columbia",""
"V4V","Winfield","British Columbia",""
"V2A","Penticton","British Columbia",""
"V8K","Saltspring Island","British Columbia",""
"V1A","Kimberley","British Columbia",""
"V2H","Kamloops North","British Columbia","Kamloops"
"V2J","Quesnel","British Columbia",""
"V2K","Prince George North","British Columbia","Prince George"
"V2L","Prince George East Central","British Columbia","Prince George"
"V2M","Prince George West Central","British Columbia","Prince George"
"V2N","Prince George South","British Columbia","Prince George"
"V2P","Chilliwack Central","British Columbia","Chilliwack"
"V2R","Chilliwack West","British Columbia","Chilliwack"
"V2S","Abbotsford Southeast","British Columbia","Abbotsford"
"V2T","Abbotsford Southwest","British Columbia","Abbotsford"
"V2V","Mission East","British Columbia",""
"V2W","Maple Ridge East","British Columbia","Maple Ridge"
"V2X","Maple Ridge West","British Columbia","Maple Ridge"
"V2Y","Langley Township Northwest","British Columbia","Langley Township"
"V2Z","Langley Township Southwest","British Columbia","Langley Township"
"V3C","Port Coquitlam South","British Columbia","Port Coquitlam"
"V3E","Port Coquitlam North","British Columbia","Port Coquitlam"
"V3G","Abbotsford East","British Columbia",""
"V3J","Coquitlam North","British Columbia","Coquitlam"
"V3K","Coquitlam South","British Columbia","Coquitlam"
"V3L","New Westminster Northeast","British Columbia","New Westminster"
"V3M","New Westminster Southwest (Includes Annacis Island)","British Columbia","New Westminster"
"V3N","Burnaby (East Big Bend / Stride Avenue / Edmonds / Cariboo-Armstrong)","British Columbia",""
"V3R","Surrey North","British Columbia","Surrey"
"V3S","Surrey East","British Columbia","Surrey"
"V3T","Surrey Inner Northwest","British Columbia","Surrey"
"V3V","Surrey Outer Northwest","British Columbia","Surrey"
"V3W","Surrey Upper West","British Columbia","Surrey"
"V3X","Surrey Lower West","British Columbia","Surrey"
"V3Z","Surrey","British Columbia",""
"V4C","Delta Northeast","British Columbia","Delta"
"V4E","Delta East","British Columbia","Delta"
"V4G","Delta East Central","British Columbia","Delta"
"V4K","Delta Central","British Columbia","Delta"
"V4L","Delta Southeast","British Columbia","Delta"
"V4M","Delta Southwest","British Columbia","Delta"
"V4N","Surrey Northeast","British Columbia","Surrey"
"V4P","Surrey South","British Columbia","Surrey"
"V4R","Maple Ridge Northwest","British Columbia",""
"V4S","Mission West","British Columbia",""
"V4W","Langley Township East","British Columbia",""
"V4X","Abbotsford West","British Columbia",""
"V4Z","Chilliwack East","British Columbia",""
"V5C","Burnaby (Burnaby Heights / Willingdon Heights / West Central Valley)","British Columbia","Burnaby"
"V5E","Burnaby (Lakeview-Mayfield / Richmond Park / Kingsway-Beresford)","British Columbia","Burnaby"
"V5G","Burnaby (Cascade-Schou / Douglas-Gilpin)","British Columbia","Burnaby"
"V5H","Burnaby (Maywood / Marlborough / Oakalla / Windsor)","British Columbia","Burnaby"
"V5J","Burnaby (Suncrest / Sussex-Nelson / Clinton-Glenwood / West Big Bend)","British Columbia","Burnaby"
"V5K","Vancouver (North Hastings-Sunrise)","British Columbia","Vancouver"
"V5L","Vancouver (North Grandview-Woodlands)","British Columbia","Vancouver"
"V5M","Vancouver (South Hastings-Sunrise / North Renfrew-Collingwood)","British Columbia","Vancouver"
"V5N","Vancouver (South Grandview-Woodlands / NE Kensington)","British Columbia","Vancouver"
"V5P","Vancouver (SE Kensington / Victoria-Fraserview)","British Columbia","Vancouver"
"V5R","Vancouver (South Renfrew-Collingwood)","British Columbia","Vancouver"
"V5S","Vancouver (Killarney)","British Columbia","Vancouver"
"V5T","Vancouver (East Mount Pleasant)","British Columbia","Vancouver"
"V5V","Vancouver (West Kensington / NE Riley Park-Little Mountain)","British Columbia","Vancouver"
"V5W","Vancouver (SE Riley Park-Little Mountain / SW Kensington / NE Oakridge / North Sunset)","British Columbia","Vancouver"
"V5X","Vancouver (SE Oakridge / East Marpole / South Sunset)","British Columbia","Vancouver"
"V5Y","Vancouver (West Mount Pleasant / West Riley Park-Little Mountain)","British Columbia","Vancouver"
"V5Z","Vancouver (East Fairview / South Cambie)","British Columbia","Vancouver"
"V6C","Vancouver (Waterfront / Coal Harbour / Canada Place)","British Columbia","Vancouver"
"V6E","Vancouver (South West End)","British Columbia","Vancouver"
"V6G","Vancouver (North West End / Stanley Park)","British Columbia","Vancouver"
"V6H","Vancouver (West Fairview / Granville Island / NE Shaughnessy)","British Columbia","Vancouver"
"V6J","Vancouver (NW Shaughnessy / East Kitsilano / Quilchena)","British Columbia","Vancouver"
"V6K","Vancouver (Central Kitsilano)","British Columbia","Vancouver"
"V6L","Vancouver (NW Arbutus Ridge)","British Columbia","Vancouver"
"V6M","Vancouver (South Shaughnessy / NW Oakridge / NE Kerrisdale / SE Arbutus Ridge)","British Columbia","Vancouver"
"V6N","Vancouver (Dunbar-Southlands / Musqueam)","British Columbia","Vancouver"
"V6P","Vancouver (SE Kerrisdale / SW Oakridge / West Marpole)","British Columbia","Vancouver"
"V6R","Vancouver (West Kitsilano / Jericho)","British Columbia","Vancouver"
"V6S","Vancouver (Chaldecutt / South University Endowment Lands)","British Columbia","Vancouver"
"V6V","Richmond Northeast","British Columbia","Richmond"
"V6W","Richmond Southeast","British Columbia","Richmond"
"V6X","Richmond North","British Columbia","Richmond"
"V6Y","Richmond Central","British Columbia","Richmond"
"V6Z","Vancouver (SW Downtown)","British Columbia","Vancouver"
"V7B","Richmond (Sea Island / YVR)","British Columbia","Richmond"
"V7C","Richmond West","British Columbia","Richmond"
"V7E","Richmond Southwest","British Columbia","Richmond"
"V7G","North Vancouver Outer East","British Columbia","Vancouver"
"V7H","North Vancouver Inner East","British Columbia","Vancouver"
"V7J","North Vancouver East Central","British Columbia","Vancouver"
"V7K","North Vancouver North Central","British Columbia","Vancouver"
"V7L","North Vancouver South Central","British Columbia","Vancouver"
"V7M","North Vancouver Southwest Central","British Columbia","Vancouver"
"V7N","North Vancouver Northwest Central","British Columbia","Vancouver"
"V7P","North Vancouver Southwest","British Columbia","Vancouver"
"V7R","North Vancouver Northwest","British Columbia","Vancouver"
"V7S","West Vancouver North","British Columbia","Vancouver"
"V7T","West Vancouver Southeast","British Columbia","Vancouver"
"V7V","West Vancouver South","British Columbia","Vancouver"
"V7W","West Vancouver West","British Columbia","Vancouver"
"V7X","Vancouver (Bentall Centre)","British Columbia","Vancouver"
"V7Y","Vancouver (Pacific Centre)","British Columbia","Vancouver"
"V8B","Squamish","British Columbia",""
"V8C","Kitimat","British Columbia",""
"V8E","Whistler","British Columbia",""
"V8J","Prince Rupert","British Columbia",""
"V8M","Central Saanich","British Columbia",""
"V8N","Saanich East","British Columbia","Saanich"
"V8P","Saanich Southeast","British Columbia","Saanich"
"V8R","Oak Bay North","British Columbia","Oak Bay"
"V8S","Oak Bay South","British Columbia","Oak Bay"
"V8T","Victoria North","British Columbia","Victoria"
"V8V","Victoria South","British Columbia","Victoria"
"V8W","Victoria Central British Columbia Provincial Government","British Columbia","Victoria"
"V8X","Saanich South","British Columbia","Saanich"
"V8Y","Saanich North","British Columbia","Saanich"
"V8Z","Saanich Central","British Columbia","Saanich"
"V9B","Highlands","British Columbia",""
"V9C","Metchosin","British Columbia",""
"V9E","Saanich West","British Columbia",""
"V9J","Courtenay Northern Outskirts","British Columbia","Courtenay"
"V9K","Qualicum Beach","British Columbia",""
"V9N","Courtenay Central","British Columbia","Courtenay"
"V9R","Nanaimo South","British Columbia","Nanaimo"
"V9S","Nanaimo Central","British Columbia","Nanaimo"
"V9T","Nanaimo North","British Columbia","Nanaimo"
"V9V","Nanaimo Northwest","British Columbia","Nanaimo"
"V9W","Campbell River Central","British Columbia","Campbell River"
"V9X","Cedar","British Columbia",""
"V9Y","Port Alberni","British Columbia",""
"V9Z","Sooke","British Columbia",""
"V0C","Northern British Columbia (Fort Nelson)","British Columbia",""
"V0E","Central Okanagan and High Country (Revelstoke)","British Columbia",""
"V0G","West Kootenays (Rossland)","British Columbia",""
"V0H","South Okanagan (Summerland)","British Columbia",""
"V0J","Omineca and Yellowhead (Smithers)","British Columbia",""
"V0K","Cariboo and West Okanagan (100 Mile House)","British Columbia",""
"V0L","Chilcotin (Alexis Creek)","British Columbia",""
"V0M","Harrison Lake Region (Agassiz)","British Columbia",""
"V0N","North Island, Sunshine Coast, and Southern Gulf Islands (Whistler)","British Columbia",""
"V0P","North Central Island and Bute Inlet Region (Gold River)","British Columbia",""
"V0R","Central Island (Chemainus)","British Columbia",""
"V0S","Juan de Fuca Shore (Sooke)","British Columbia",""
"V0T","Inside Passage and the Queen Charlottes (Queen Charlotte City)","British Columbia",""
"V0V","Lower Skeena (Port Edward)","British Columbia",""
"V0W","Atlin Region (Atlin)","British Columbia",""
"V0X","Similkameen (Hope)","British Columbia",""
"V1H","Vernon West","British Columbia","Vernon"
"V1J","Fort St. John","British Columbia",""
"V1L","Nelson","British Columbia",""
"V1M","Langley Township North","British Columbia",""
"V1P","Kelowna East","British Columbia","Kelowna"
"V1S","Kamloops Southwest","British Columbia",""
"V1T","Vernon Central","British Columbia","Vernon"
"V1V","Kelowna North","British Columbia","Kelowna"
"V1W","Kelowna Southwest","British Columbia","Kelowna"
"V1X","Kelowna East Central","British Columbia","Kelowna"
"V1Y","Kelowna Central","British Columbia","Kelowna"
"V1Z","Kelowna West","British Columbia","Kelowna"
"V2C","Kamloops Central and Southeast","British Columbia","Kamloops"
"V2E","Kamloops South and West","British Columbia","Kamloops"
"V3A","Langley City","British Columbia",""
"V4A","Surrey Southwest","British Columbia","Surrey"
"V6T","Vancouver (UBC)","British Columbia","Vancouver"
"V8A","Powell River","British Columbia",""
"V8G","Terrace","British Columbia",""
"V8L","Sidney","British Columbia",""
"V9A","Esquimalt","British Columbia",""
"V9G","Ladysmith","British Columbia",""
"V9H","Campbell River Outskirts","British Columbia","Campbell River"
"V9M","Comox","British Columbia",""
"V0A","Upper Columbia Region (Golden)","British Columbia",""
"V1E","Salmon Arm","British Columbia",""
"V1N","Castlegar","British Columbia",""
"V1R","Trail","British Columbia",""
"V2G","Williams Lake","British Columbia",""
"V3B","Port Coquitlam Central","British Columbia","Port Coquitlam"
"V5A","Burnaby (Government Road / Lake City / SFU / Burnaby Mountain)","British Columbia","Burnaby"
"V5B","Burnaby (Parkcrest-Aubrey / Ardingley-Sprott)","British Columbia","Burnaby"
"V6A","Vancouver (Strathcona / Chinatown / Downtown Eastside)","British Columbia","Vancouver"
"V6B","Vancouver (NE Downtown / Harbour Centre / Gastown / Yaletown)","British Columbia","Vancouver"
"V7A","Richmond South","British Columbia","Richmond"
"V9L","Duncan","British Columbia",""
"V9P","Parksville","British Columbia",""
"V0B","East Kootenays (Fernie)","British Columbia",""
"V1B","Vernon East","British Columbia","Vernon"
"V1C","Cranbrook","British Columbia",""
"V1G","Dawson Creek","British Columbia",""
"V1K","Merritt","British Columbia",""
"V2B","Kamloops Northwest","British Columbia","Kamloops"
